date,time,PPFD_toa
2022/10/3,9:41:00,1637.9677628063257
2022/10/3,9:42:00,1641.8887381273987
2022/10/3,9:43:00,1645.7767613975957
2022/10/3,9:44:00,1649.631758594557
2022/10/3,9:45:00,1653.4536563246947
2022/10/3,9:46:00,1657.242381824582
2022/10/3,9:47:00,1660.9978629623492
2022/10/3,9:48:00,1664.7200282390488
2022/10/3,9:49:00,1668.4088067900175
2022/10/3,9:50:00,1672.0641283862317
2022/10/3,9:51:00,1675.685923435635
2022/10/3,9:52:00,1679.2741229844726
2022/10/3,9:53:00,1682.828658718594
2022/10/3,9:54:00,1686.3494629647648
2022/10/3,9:55:00,1689.8364686919476
2022/10/3,9:56:00,1693.2896095125789
2022/10/3,9:57:00,1696.7088196838342
2022/10/3,9:58:00,1700.094034108884
2022/10/3,9:59:00,1703.4451883381214
2022/10/3,10:00:00,1706.7622185704029
2022/10/3,10:01:00,1710.0450616542523
2022/10/3,10:02:00,1713.2936550890706
2022/10/3,10:03:00,1716.5079370263215
2022/10/3,10:04:00,1719.6878462707095
2022/10/3,10:05:00,1722.8333222813492
2022/10/3,10:06:00,1725.9443051729074
2022/10/3,10:07:00,1729.0207357167571
2022/10/3,10:08:00,1732.0625553420934
2022/10/3,10:09:00,1735.0697061370563
2022/10/3,10:10:00,1738.0421308498292
2022/10/3,10:11:00,1740.979772889731
2022/10/3,10:12:00,1743.88257632829
2022/10/3,10:13:00,1746.7504859003152
2022/10/3,10:14:00,1749.5834470049413
2022/10/3,10:15:00,1752.381405706672
2022/10/3,10:16:00,1755.1443087364066
2022/10/3,10:17:00,1757.8721034924552
2022/10/3,10:18:00,1760.5647380415378
2022/10/3,10:19:00,1763.2221611197722
2022/10/3,10:20:00,1765.8443221336554
2022/10/3,10:21:00,1768.4311711610214
2022/10/3,10:22:00,1770.9826589519923
2022/10/3,10:23:00,1773.4987369299186
2022/10/3,10:24:00,1775.9793571923037
2022/10/3,10:25:00,1778.424472511712
2022/10/3,10:26:00,1780.8340363366735
2022/10/3,10:27:00,1783.2080027925654
2022/10/3,10:28:00,1785.5463266824904
2022/10/3,10:29:00,1787.84896348813
2022/10/3,10:30:00,1790.1158693706
2022/10/3,10:31:00,1792.3470011712782
2022/10/3,10:32:00,1794.5423164126328
2022/10/3,10:33:00,1796.701773299026
2022/10/3,10:34:00,1798.825330717511
2022/10/3,10:35:00,1800.912948238616
2022/10/3,10:36:00,1802.9645861171125
2022/10/3,10:37:00,1804.9802052927735
2022/10/3,10:38:00,1806.959767391113
2022/10/3,10:39:00,1808.9032347241239
2022/10/3,10:40:00,1810.8105702909895
2022/10/3,10:41:00,1812.68173777879
2022/10/3,10:42:00,1814.516701563193
2022/10/3,10:43:00,1816.315426709134
2022/10/3,10:44:00,1818.0778789714789
2022/10/3,10:45:00,1819.8040247956765
2022/10/3,10:46:00,1821.4938313183982
2022/10/3,10:47:00,1823.147266368165
